gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
CDK16,3.1902213,0.0067280396,0.001421639200175755,0.005638953887249963
AP1S3,3.1889534,0.17536919,0.0014278889577724985,0.005662988179465079
PTGDS,3.1879232,2.3819075,0.0014329855249256478,0.005682137415801745
RP4-593H12.1,3.1879003,2.560499,0.0014330995352334877,0.005682137415801745
FGD6,3.1878185,0.0121346945,0.0014335049729392831,0.005682987114720495
AGAP3,3.1873736,-0.08109041,0.0014357113916220793,0.005690216849786628
HERC1,3.184994,-0.13870592,0.0014475702776919404,0.005735688574975275
KPNA5,3.1825554,0.33362988,0.0014598157350446278,0.005781999137203311
FAM49A,3.1825504,1.2220516,0.0014598415068437513,0.005781999137203311
SEPT8,3.181413,-0.030628871,0.0014655861693216336,0.005803978898833263
